country_name,gold,silver,bronze,total
Australia,66,57,54,177
England,56,64,53,173
Canada,26,32,34,92
India,22,15,23,60
Scotland,13,11,27,51
New Zealand,20,12,17,49
Nigeria,12,9,14,35
Wales,8,6,14,28
South Africa,7,9,11,27
Malaysia,6,8,8,22
Kenya,6,5,10,21
North Ireland,7,7,4,18
Jamaica,6,6,3,15
Singapore,4,4,4,12
Cyprus,2,3,6,11
Pakistan,2,3,3,8
Trinidad and Tobago,3,2,1,6
Uganda,3,0,2,5
Samoa,1,4,0,5
Mauritius,0,3,2,5
Ghana,0,2,3,5
Fiji,0,2,2,4
Sri Lanka,0,1,3,4
Namibia,0,0,4,4
Barbados,1,1,1,3
Cameroon,1,1,1,3
Zambia,1,1,1,3
Mozambique,0,2,1,3
Tanzania,0,1,2,3
Bahamas,1,1,0,2
Grenada,1,1,0,2
Bermuda,1,0,1,2
Botswana,0,1,1,2
Guernsey,0,1,1,2
British Virgin Island,1,0,0,1
Dominica,0,1,0,1
Gambia,0,1,0,1
Papua New Guinea,0,1,0,1
Saint Lucia,0,1,0,1
Malta,0,0,1,1
Naura,0,0,1,1
Niue,0,0,1,1
Vanuatu,0,0,1,1
